Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 8 for remote forward to localhost:5173
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
https://tjuwq-2402-8100-2af7-9781-c0ad-47e4-8759-fae2.run.pinggy-free.link
https://uudjt-2402-8100-2af7-9781-c0ad-47e4-8759-fae2.free.pinggy.net

RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 4294967295               
RB: 0, SB: 0, TC: 2, AC: 0               
RB: 0, SB: 0, TC: 2, AC: 0               
RB: 755, SB: 0, TC: 1, AC: 1               
RB: 755, SB: 0, TC: 1, AC: 1               
RB: 755, SB: 6091, TC: 1, AC: 1               
RB: 755, SB: 6091, TC: 1, AC: 1               
RB: 755, SB: 6091, TC: 1, AC: 1               
RB: 755, SB: 6091, TC: 1, AC: 1               
RB: 755, SB: 6091, TC: 1, AC: 1               
RB: 3443, SB: 51503, TC: 3, AC: 3               
RB: 3443, SB: 51503, TC: 3, AC: 3               
RB: 3443, SB: 51503, TC: 3, AC: 3               
RB: 4328, SB: 117039, TC: 3, AC: 3               
RB: 4328, SB: 182575, TC: 3, AC: 3               
RB: 4328, SB: 248111, TC: 3, AC: 3               
RB: 4328, SB: 248111, TC: 3, AC: 3               
RB: 4328, SB: 248111, TC: 3, AC: 3               
RB: 4328, SB: 248111, TC: 3, AC: 3               
RB: 5221, SB: 334296, TC: 3, AC: 3               
RB: 5221, SB: 432600, TC: 3, AC: 3               
RB: 5221, SB: 432600, TC: 3, AC: 3               
RB: 5221, SB: 567388, TC: 3, AC: 3               
RB: 5221, SB: 567388, TC: 3, AC: 3               
RB: 6158, SB: 698460, TC: 3, AC: 3               
RB: 6158, SB: 698460, TC: 3, AC: 3               
RB: 6158, SB: 698460, TC: 3, AC: 3               
RB: 6158, SB: 698460, TC: 3, AC: 3               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 8106, SB: 1058908, TC: 4, AC: 4               
RB: 11088, SB: 2106937, TC: 7, AC: 7               
RB: 11088, SB: 2106937, TC: 7, AC: 7               
RB: 11088, SB: 2106937, TC: 7, AC: 7               
RB: 11088, SB: 2680377, TC: 7, AC: 7               
RB: 11088, SB: 3150696, TC: 7, AC: 7               
RB: 11088, SB: 3576680, TC: 7, AC: 6               
RB: 11088, SB: 3936124, TC: 7, AC: 6               
RB: 11088, SB: 4296572, TC: 7, AC: 6               
RB: 11088, SB: 4491631, TC: 7, AC: 6               
RB: 11088, SB: 4491631, TC: 7, AC: 5               
RB: 11088, SB: 4491631, TC: 7, AC: 4               
RB: 11088, SB: 4491631, TC: 7, AC: 1               
RB: 11109, SB: 4491631, TC: 7, AC: 1               
RB: 11109, SB: 4491631, TC: 7, AC: 0               
RB: 11109, SB: 4491631, TC: 8, AC: 1               
RB: 11109, SB: 4491631, TC: 8, AC: 0               
RB: 11109, SB: 4491631, TC: 9, AC: 1               
RB: 11109, SB: 4491631, TC: 9, AC: 0               
RB: 11109, SB: 4491631, TC: 10, AC: 1               
RB: 11109, SB: 4491631, TC: 10, AC: 0               
RB: 11109, SB: 4491631, TC: 11, AC: 1               
RB: 11109, SB: 4491631, TC: 11, AC: 0               
RB: 11109, SB: 4491631, TC: 12, AC: 1               
RB: 11109, SB: 4491631, TC: 12, AC: 0               
RB: 11109, SB: 4491631, TC: 13, AC: 1               
RB: 11130, SB: 4491631, TC: 7, AC: 1               
RB: 11285, SB: 4491631, TC: 7, AC: 1               
RB: 11306, SB: 4491631, TC: 7, AC: 1               
RB: 11306, SB: 4491631, TC: 7, AC: 0               
RB: 11306, SB: 4491631, TC: 8, AC: 1               
RB: 11312, SB: 4491631, TC: 7, AC: 1               
RB: 11312, SB: 4491631, TC: 7, AC: 0               
